x0,x1,x2,x3,x4,y
2.865854407896219147e+00,1.529116151906550369e+00,-1.419024987570698115e-01,-7.319636879234928672e-01,-6.397208968906292981e+00,8.000000000000000000e+00
-1.298902734515022805e+00,-1.585297378859633843e+00,9.998760872284651047e-01,-6.090450386944139538e+00,-5.469660191557816020e+00,2.000000000000000000e+00
-2.036237115749345516e+00,-2.904913458624839073e+00,1.337862505713790284e+00,-2.563905144648992884e+00,-5.810647921846429753e+00,3.000000000000000000e+00
8.228071467040036779e-01,-4.250755174072952114e-01,1.793337323260603411e-01,6.420086899746445752e+00,8.474105099912425665e-01,0.000000000000000000e+00
-3.581703273566656076e+00,6.608245452228899142e-01,-6.517213487995741517e+00,-3.814167260410100457e+00,7.890991969839319387e-01,7.000000000000000000e+00
-1.758886804923939895e+00,4.867693258936723666e+00,1.918001112295806276e+00,6.038422207102556172e-02,1.061594356575765064e+00,1.000000000000000000e+00
-2.052579720554875975e-01,4.987655460662744566e+00,3.460775723918082303e+00,-2.321744310467419137e+00,-1.335608902411144772e-01,1.000000000000000000e+00
-2.383217504927249042e+00,-2.068084094498433778e+00,2.081661545892269150e+00,7.203265718136956375e-01,-4.057512612640452154e+00,9.000000000000000000e+00
-2.612567582641793784e+00,-1.796340062006557270e+00,3.240926296955984665e+00,1.157323104596582386e+00,-4.812843457548845905e+00,9.000000000000000000e+00
2.323408972095313274e+00,1.241128142532862411e+00,-2.109068364902598525e+00,9.255199256857045143e-01,-4.075269450642394986e+00,8.000000000000000000e+00
-1.606110648260192786e-01,5.425998422111712571e+00,2.252966443512351979e+00,-1.227389094224708987e+00,1.306575704499479018e+00,1.000000000000000000e+00
-1.466307690219337267e+00,-1.284205625347456081e+00,1.691465488321560962e+00,-5.931963326475329090e+00,-6.740462886260067066e+00,2.000000000000000000e+00
4.495633447632612634e-01,-3.594509587289629771e+00,1.287054284366502710e+00,-1.949867138742266359e+00,5.068731351875729318e-01,5.000000000000000000e+00
-2.703448027551234589e-01,5.509112453276745036e+00,3.347683035501955562e+00,-1.439514392684815292e+00,-6.659319810913186810e-01,1.000000000000000000e+00
-2.306443968609996009e+00,-2.617610247200463647e+00,3.082515870187798601e-01,-6.126515166072470819e+00,-3.975268296806663493e+00,2.000000000000000000e+00
-1.885916409955474826e+00,-2.189336097800774095e+00,1.925889145897801580e+00,-6.711383696759727790e+00,-5.035090818801520207e+00,2.000000000000000000e+00
-6.082526753311303658e-01,5.181504574591666135e+00,8.180761607004798375e-01,1.042083025463286586e-02,2.866513155920660694e+00,1.000000000000000000e+00
-1.238813276888097725e+00,-2.303635208768629372e+00,1.334347841461030804e+00,-2.168476595796832829e+00,-4.598377090658872568e+00,3.000000000000000000e+00
-1.859784346210118455e+00,-2.707553646382060197e+00,2.834050979454952657e+00,-8.237050497737371302e+00,-6.788778790524971463e+00,2.000000000000000000e+00
1.278981456721604459e+00,-1.480082225505268578e+00,-1.083894697079181402e+00,-1.968907534339604082e+00,-2.254850140489748078e+00,8.000000000000000000e+00
-1.399678170668925636e+00,-2.429654649814853240e+00,1.856621337529444249e+00,-2.880755933476208064e+00,-5.901229936552108590e+00,3.000000000000000000e+00
-1.872433974646834143e+00,6.070299313589220702e+00,-3.799981253868179309e-01,-2.391499054716099693e+00,3.299636085599432889e+00,6.000000000000000000e+00
3.659857688576758417e+00,1.000988994663235765e+00,1.952054979960945458e+00,-3.279384489898666377e+00,-6.091393866113791411e+00,8.000000000000000000e+00
4.907702539720279478e-01,-3.302717502561341334e+00,1.350611866412217310e+00,-1.727506753890779123e+00,-2.290747232930998578e+00,5.000000000000000000e+00
-1.547601160429102674e+00,-8.136851810860745715e-01,2.288997581793889680e+00,1.476658507790235220e+00,-5.350362737455196971e+00,9.000000000000000000e+00
3.897538365954695827e+00,-1.377168773727361684e+00,5.616438511204199235e-01,-4.688601948942395126e+00,-1.777290095594844077e+00,4.000000000000000000e+00
-1.595965821873353674e+00,-3.701177869159323119e+00,2.089240233889300136e+00,-4.405948771621349458e+00,-4.619336935181146409e+00,3.000000000000000000e+00
-1.399506312863549651e+00,-1.207293839963054616e+00,2.923901096588306547e+00,5.088969529221009092e-01,-5.172408486742027911e+00,9.000000000000000000e+00
1.392451657955109112e-01,-1.038620952734008673e+00,1.588290621901842670e+00,-2.411272794831837984e+00,-5.077736316314966025e+00,3.000000000000000000e+00
-3.548382083592160896e+00,3.715575087062925608e-01,-4.280414599673646237e+00,-5.389267472281567883e+00,-2.870814057037539557e-01,7.000000000000000000e+00
-1.625889553811066257e+00,-2.620852273284459688e+00,9.238410422747868056e-01,-2.358161668562439583e+00,-3.696041277892683663e+00,3.000000000000000000e+00
1.596839500840403048e+00,2.041258402124728200e-01,-6.305578886103441194e-01,-8.214175206322816836e-01,-4.846265218962636290e+00,8.000000000000000000e+00
8.885226736530060787e-01,-2.906585067515580878e+00,5.717995463551176494e-01,-1.515390100194003109e+00,-5.465873830772803865e-01,5.000000000000000000e+00
-3.236086225822098594e+00,1.358705231463602559e+00,-5.624266244023162109e+00,-4.202224602418941579e+00,-2.136304219069093957e+00,7.000000000000000000e+00
9.194438960125346227e-01,-2.576952220624185497e+00,2.586438969724180748e+00,-3.004811574412724173e+00,-5.045778127572877914e+00,5.000000000000000000e+00
3.126608871849604565e+00,1.553703486242515197e+00,-5.863493602904730206e-01,-5.818116822259724596e-01,-4.705166079481530872e+00,8.000000000000000000e+00
-1.645752343485155089e+00,-1.369090265364475867e+00,4.438783421035615184e+00,-2.278868422972887831e-01,-6.334085367498293095e+00,9.000000000000000000e+00
1.301133336673264473e+00,-8.810169106439650344e-01,2.959500996847140630e+00,3.484781043981025395e+00,-2.624030194277461980e+00,0.000000000000000000e+00
5.319916975460527997e-01,3.899137899064130108e-01,1.107506162310015474e-01,-5.708989960871008407e+00,-5.680689685303451419e+00,2.000000000000000000e+00
-6.263935857057388867e-01,-6.572773532958826603e-01,1.364327391718273219e+00,-6.586256557044317894e+00,-7.483716957853307150e+00,2.000000000000000000e+00
-3.392133346908412062e+00,1.367118275709586994e+00,-5.541292750721950711e+00,-3.563498492722300792e+00,5.620552391832986383e-02,7.000000000000000000e+00
